,base_market,quote_market,hedge_ratio,half_life
0,CELO-USD,ZRX-USD,3.181037066461663,12.0
1,LINK-USD,EOS-USD,6.549568445014932,9.0
2,DOGE-USD,1INCH-USD,0.15892681964152955,16.0
3,DOGE-USD,ETC-USD,0.003975504634925342,9.0
4,DOGE-USD,SUSHI-USD,0.06287164404684714,10.0
5,1INCH-USD,ETH-USD,0.00034277813727760884,14.0
6,1INCH-USD,XTZ-USD,0.4907082289629716,22.0
7,1INCH-USD,UNI-USD,0.08211312758825814,17.0
8,1INCH-USD,ADA-USD,1.4310225640795524,16.0
9,1INCH-USD,ZRX-USD,2.255370142128091,11.0
10,1INCH-USD,YFI-USD,7.459544773781621e-05,22.0
11,1INCH-USD,ETC-USD,0.024998876984352054,11.0
12,1INCH-USD,LTC-USD,0.005698369107349549,14.0
13,1INCH-USD,DOT-USD,0.08410827066477647,23.0
14,1INCH-USD,XLM-USD,6.217049123669254,14.0
15,1INCH-USD,BCH-USD,0.004212944229826003,15.0
16,1INCH-USD,UMA-USD,0.2698566080637844,11.0
17,XMR-USD,UNI-USD,24.34776515692449,15.0
18,XMR-USD,ETC-USD,7.411551607113699,16.0
19,XMR-USD,RUNE-USD,92.1943730507406,22.0
20,XMR-USD,SUSHI-USD,117.16024167824622,18.0
21,ETH-USD,ZRX-USD,6577.4261745706235,10.0
22,ETH-USD,UMA-USD,787.1690600984648,7.0
23,AAVE-USD,ADA-USD,219.82150483839857,10.0
24,AAVE-USD,ZRX-USD,346.20674860886663,17.0
25,AAVE-USD,BCH-USD,0.6470879313573534,10.0
26,AAVE-USD,SOL-USD,3.7319662029345313,13.0
27,ATOM-USD,YFI-USD,0.0019085620352191838,11.0
28,ATOM-USD,RUNE-USD,7.95521465414357,14.0
29,ATOM-USD,SUSHI-USD,10.110204274418193,18.0
30,COMP-USD,ALGO-USD,198.71095544129048,19.0
31,COMP-USD,XTZ-USD,46.24406502662228,19.0
32,COMP-USD,ZRX-USD,212.46276931875926,17.0
33,COMP-USD,ENJ-USD,111.77699112743574,17.0
34,COMP-USD,UMA-USD,25.43261984078604,12.0
35,COMP-USD,SUSHI-USD,37.24683416814611,19.0
36,ALGO-USD,ENJ-USD,0.5623248303396212,10.0
37,UNI-USD,ETC-USD,0.30439082982913124,5.0
38,UNI-USD,XLM-USD,75.69663354515262,10.0
39,UNI-USD,BCH-USD,0.05130187653840777,7.0
40,UNI-USD,SOL-USD,0.2958098242404571,23.0
41,UNI-USD,SUSHI-USD,4.812999830148989,16.0
42,ZRX-USD,AVAX-USD,0.012560720443273837,22.0
43,ZRX-USD,LTC-USD,0.002525579479395438,13.0
44,ZRX-USD,DOT-USD,0.037286990131139224,10.0
45,ZRX-USD,BCH-USD,0.0018669715620767409,16.0
46,ZRX-USD,BTC-USD,1.0687202755609131e-05,15.0
47,ZRX-USD,UMA-USD,0.11961455259471573,7.0
48,ZRX-USD,NEAR-USD,0.10262991784984479,14.0
49,ZRX-USD,SOL-USD,0.010762618301770997,20.0
50,YFI-USD,ETC-USD,335.0410005004005,8.0
51,YFI-USD,AVAX-USD,380.09591384983105,22.0
52,YFI-USD,SUSHI-USD,5298.034001477794,14.0
53,ETC-USD,AVAX-USD,1.1341843025908036,20.0
54,ETC-USD,XLM-USD,248.66827039848835,8.0
55,ETC-USD,SUSHI-USD,15.810981780452845,13.0
56,AVAX-USD,SUSHI-USD,13.932530939914466,8.0
57,ENJ-USD,NEAR-USD,0.19519452850651195,17.0
58,DOT-USD,NEAR-USD,2.7519550742268892,19.0
59,XLM-USD,BCH-USD,0.0006776719645503833,8.0
60,XLM-USD,SUSHI-USD,0.06355951677400115,21.0
61,BCH-USD,SUSHI-USD,93.79235155112764,16.0
62,BTC-USD,CRV-USD,21466.556520867194,13.0
63,SOL-USD,SUSHI-USD,16.265506765774482,10.0
